start_date,end_date,status,progress,duration_in_seconds,finished,recorded_date,response_id,distribution_channel,user_language,q_recaptcha_score,age,employed,hours_week,job_function,job_function_11_text,job_level,job_level_6_text,tenure_years,check_01,task_clarity,performance_criteria,solution_clarity,task_judgment,ai_tools,ai_tools_9_text,ai_frequency,ai_percent,ai_activities,ai_integration,ai_speed,ai_quality,ai_verification,relative_performance,formal_evaluation,evaluation_outcome,deadline_performance,quality_performance,output_volume,digital_comfort,experience_years,attention_check,job_description,employment_confirm,eligible,ai_z_freq,ai_z_pct,ai_z_int,ai_intensity_index,task_judgment_rev,task_standardization_index,relative_performance_ord
2026-02-23T10:07:13Z,2026-02-23T10:10:29Z,0,100,195,1,2026-02-23T10:10:29Z,R_6DViTSCAAczoCkN,anonymous,EN,1,1,1,36,8,NA,1,NA,2,1,4,4,5,2,59,ChatGPT; Microsoft Co-Pilot,6,15,1236,4,5,5,1,4,1,4,5,5,4,5,5,4,I currently work as an Associate Marriage and Family therapist in a group practice setting,1,1,1.007542177826714,0.04572534887469833,0.7396978623609123,0.5976551296874415,4,4.25,4
2026-02-23T10:08:08Z,2026-02-23T10:10:32Z,0,100,144,1,2026-02-23T10:10:33Z,R_5fJA8hOj2KKbWq6,anonymous,EN,1,1,1,40,3,NA,1,NA,1,1,4,2,3,4,10,NA,1,0,7,1,1,1,3,3,2,NA,3,4,3,4,26,4,Test technician responsible for testing equipment to ensure full functionality,1,1,-1.614123693048919,-0.8628432716225531,-1.501366948356307,-1.326111304342593,2,2.75,3
2026-02-23T10:08:05Z,2026-02-23T10:10:35Z,0,100,149,1,2026-02-23T10:10:35Z,R_3TTbsMCbFhjLsvj,anonymous,EN,1,1,1,40,1,NA,1,NA,1,1,4,4,3,4,13,NA,6,5,234,2,4,4,2,3,2,NA,4,4,3,4,5,4,I'm a software developer,1,1,1.007542177826714,-0.5599870647901359,-0.7543453447839006,-0.10226341058244082,2,3.25,3
2026-02-23T10:07:21Z,2026-02-23T10:11:29Z,0,100,248,1,2026-02-23T10:11:29Z,R_6eV61acyFOt3nDb,anonymous,EN,1,1,1,40,3,NA,3,NA,4.6,1,4,4,4,2,157,NA,6,15,1245,4,4,4,3,4,1,4,4,4,3,4,40,4,Quality manager of a lab,1,1,1.007542177826714,0.04572534887469833,0.7396978623609123,0.5976551296874415,4,4,4
2026-02-23T10:08:01Z,2026-02-23T10:11:57Z,0,100,235,1,2026-02-23T10:11:57Z,R_19bI4TgWfOkdEu8,anonymous,EN,1,1,1,40,11,education,1,NA,1.5,1,4,4,4,2,1,NA,4,20,12356,4,5,4,2,4,1,4,4,4,4,4,25,4,I teach nursing students in an associates degree nursing program.,1,1,-0.04112417052353919,0.34858155570711546,0.7396978623609123,0.3490517491814962,4,4,4
2026-02-23T10:09:40Z,2026-02-23T10:12:28Z,0,100,167,1,2026-02-23T10:12:28Z,R_12G1j0Z0s2BD9DV,anonymous,EN,1,1,1,40,1,NA,2,NA,2,1,4,3,2,5,128,NA,6,10,12356,4,4,3,2,5,1,4,5,5,5,5,20,4,"My primary job is to identify, analyze and report on cybersecurity risks.",1,1,1.007542177826714,-0.25713085795771884,0.7396978623609123,0.49670306074330245,1,2.5,5
2026-02-23T10:08:04Z,2026-02-23T10:12:49Z,0,100,284,1,2026-02-23T10:12:50Z,R_1Ez2qd62gWkGARl,anonymous,EN,1,1,1,40,1,NA,3,NA,4,1,4,5,4,1,135,NA,6,2,123,4,4,5,2,3,1,3,5,4,4,5,11,4,Project Manager,1,1,1.007542177826714,-0.7417007888895862,0.7396978623609123,0.33517975043268,5,4.5,3
2026-02-23T10:09:03Z,2026-02-23T10:14:24Z,0,100,321,1,2026-02-23T10:14:25Z,R_1n7sYE5UTwVHXQY,anonymous,EN,1,1,1,40,4,NA,4,NA,9,1,4,5,3,4,1268,NA,5,50,1356,5,4,4,3,3,2,NA,5,4,5,4,12,4,I’m a senior supervisor of a large retail chain,1,1,0.4832090036515874,2.1657187967016185,1.4867194659333187,1.378549088762175,2,3.5,3
2026-02-23T10:10:38Z,2026-02-23T10:14:30Z,0,100,231,1,2026-02-23T10:14:30Z,R_3EzrkjeFyC73utK,anonymous,EN,1,1,1,52,4,NA,6,owner/operator,11.7,1,5,5,4,2,9,grok,6,45,12356,4,5,5,1,3,2,NA,5,4,3,5,26,4,i am a small business owner/operator and am involved with all aspects of the business.,1,1,1.007542177826714,1.8628625898692013,0.7396978623609123,1.203367543352276,4,4.5,3
2026-02-23T10:09:54Z,2026-02-23T10:14:35Z,0,100,280,1,2026-02-23T10:14:36Z,R_1VEuuj2qawKCe4N,anonymous,EN,0.6000000238418579,1,1,40,1,NA,2,NA,7,1,4,4,4,2,5,NA,4,10,1,2,4,3,3,3,1,4,4,4,3,4,37,4,Keep the computers running.,1,1,-0.04112417052353919,-0.25713085795771884,-0.7543453447839006,-0.3508667910883862,4,4,3
2026-02-23T10:09:35Z,2026-02-23T10:14:51Z,0,100,315,1,2026-02-23T10:14:51Z,R_1vhLArEDedHsSv7,anonymous,EN,1,1,1,40,10,NA,3,NA,3,1,4,4,4,3,12,NA,3,2,346,2,3,2,3,3,1,4,4,4,2,5,13,4,Project management.,1,1,-0.5654573446986658,-0.7417007888895862,-0.7543453447839006,-0.6871678261240509,3,3.75,3
2026-02-23T10:09:21Z,2026-02-23T10:14:53Z,0,100,331,1,2026-02-23T10:14:53Z,R_7mkjNGr1b8WpFYN,anonymous,EN,1,1,1,40,3,NA,1,NA,6.2,1,5,5,5,1,10,NA,1,0,7,1,3,3,3,4,1,4,5,5,5,3,45,4,"I work for Shaw Industries in Dalton, Georgia which is the biggest floor supplier in the United States.",1,1,-1.614123693048919,-0.8628432716225531,-1.501366948356307,-1.326111304342593,5,5,4
2026-02-23T10:10:36Z,2026-02-23T10:15:12Z,0,100,275,1,2026-02-23T10:15:13Z,R_7t17IgVrqRiTqGR,anonymous,EN,1,1,1,40,2,NA,1,NA,3.5,1,4,4,4,2,13,NA,6,35,145,4,4,4,3,4,1,3,4,4,3,4,21,4,My primary job is performing genetic data analysis and writing manuscript.,1,1,1.007542177826714,1.257150176204367,0.7396978623609123,1.0014634054639977,4,4,4
